observed_symbol,security_id,identity_state,ever_ds03_included,anchor_overlap_symbol,disposition
ASTE,t62_sec_591343edd89b216edbe3,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
ATI,t62_sec_94c1709a316f611ed340,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ATO,t62_sec_df582f26bf93627c1b36,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ATR,t62_sec_e6da8a49ae00e9519334,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
ATRO,t62_sec_e3fa8c123956c711c8d8,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AU,t62_sec_64be492a54a31fc6c39b,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AUB,t62_sec_1dce7d7cf3b1163ba505,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AUDC,t62_sec_36bbfe6a8b1b676a1bca,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AVA,t62_sec_045ce9f6e6b3cccf20dd,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AVD,t62_sec_97463549d443b301d1c1,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AVGO,t62_sec_63ba9002b7a108e468b9,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AVK,t62_sec_fee96dcabf848fe30970,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AVNT,t62_sec_c4feab078ce608aa35d1,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AVT,t62_sec_8fa2975bd395ad74494c,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AVY,t62_sec_6d4ee7b03ed86088eede,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AWF,t62_sec_1ee8094fdade8029dfe3,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
AWR,t62_sec_9a1ff207de376766e796,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AXGN,t62_sec_c04ad88de320d5cd8dde,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
AXON,t62_sec_66b80fb11a276c37a547,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AXP,t62_sec_2dd679b83247ca402ca5,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AXS,t62_sec_869f99ea747193f9aba1,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AXTI,t62_sec_56dd8578d51f8cafd753,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AYI,t62_sec_35e31562feabe48669ab,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AZN,t62_sec_448c6ef41ce2d5f1dba7,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AZO,t62_sec_0a34e836c81ded468dcc,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
AZTA,t62_sec_93854cb601e10ce16526,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
B,t62_sec_7278a4ac6ff26f215aea,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BA,t62_sec_7f860451a213e37cb584,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BAC,t62_sec_28704de50299304cdb63,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BALL,t62_sec_c7e2338e08a89bd4b671,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BANF,t62_sec_8cd5a7735f93dfda45a5,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BAX,t62_sec_c5acd630ff2159c1d539,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BB,t62_sec_3384c83f27bb5338a2f7,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BBAR,t62_sec_02dc9518e334325ee812,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBBY,t62_sec_6bb90d18d76dfc4fb738,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBD,t62_sec_14da4a09678db64dfa54,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBSI,t62_sec_6461055afd1270a855a3,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBT,t62_sec_c396d59d5541f67cf5ae,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBVA,t62_sec_8894603df829968ca8a5,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBW,t62_sec_e5be81b30f4e24721701,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBWI,t62_sec_c89793e805aaaef28922,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BBY,t62_sec_09989d925ff351519d07,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BC,t62_sec_e36fb6a756e07b3d2f24,IDENTITY_LIMITED,True,True,ANCHOR_OVERLAP
BCE,t62_sec_bf4f96aacc474736f5c9,IDENTITY_LIMITED,False,False,PARTIAL_DS03_AUTHORITY_PRESENT
BCO,t62_sec_05f96057ecc9d55dce1f,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BCPC,t62_sec_7c4739cd7ef9de2df193,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
BCRX,t62_sec_2b7361759196eec61fd6,IDENTITY_LIMITED,True,False,PARTIAL_DS03_AUTHORITY_PRESENT
