observed_symbol,classification,research_rows_admitted_by_C2
BJRI,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BKE,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BKH,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BKNG,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BKT,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BLDP,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BLK,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BLKB,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BLW,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BLX,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BMI,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BMO,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BMY,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BN,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BNBX,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BNS,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BNY,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BOH,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BOKF,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BOOM,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BP,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BPOP,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BRC,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BRK-A,ELIGIBILITY_AUTHORITY_MISSING,0
BRK-B,ELIGIBILITY_AUTHORITY_MISSING,0
BRKR,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BRO,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
BRW,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BSAC,PARTIALLY_ADMITTED_DS03_ONLY_C2_NOT_ACCEPTED,0
BSET,IDENTITY_LIMITED_OR_LIQUIDITY_INELIGIBLE,0
BSX,ANCHOR_SYMBOL_EXISTING_NOT_NEW,0
